sentiment,content
positif,dikasih pundak yg kuat dan sabar
positif,Iya kak Alhamdulillah bngt
negatif,Aku udah nggak self harm lagi
netral,Dapet kerjaan disalah satu cabang bank korea yg di Indonesia
positif,"Banyak kali doa yg dikabulin ditahun ini, sama persis sama yg aku minta. Sedetil itu Tuhan nyusun skenario buat hambaNya"
negatif,ketemu orang yg ngubah smwnya jd dewasa tp sementara
positif,"Aku dihajar habis2an sama orang2 yg aku percaya di thn ini dan aku selemah itu, but i found that aku ternyata kuat bgt masih bisa haha hihi pergi kerja main dsb padahal hati dan pikiran penuh sesak, and finally aku jd bisa lewatin semua kek waaaah aku kok bisa, makasih aku"
negatif,gak semua yang dipikirin itu kejadian
positif,Mulai memberianikan diri untuk lebih percaya dan yakin pada keputusan diri sendiri.
netral,Cek dm min
negatif,Cek lagi min. Ga solutif amat solusinya. Mau ganti periode cicilan aja ga bisa
netral,Acc dospem 1 dan 2
positif,Menemukan seseorang yg hatinya baiiiiiik banget.
positif,"gaono, yaa semoga baik sj"
positif,"Punya banyak temen baik, aku dan keluarga sehat, dan rejeki alhamdulillah lancar"
netral,Bismillah.....
negatif,Kisah cintaku ternyata ga sedi2 amat semenjak tau kisah norma
positif,Menemukan sisi lain dari aku yang lebih kuat dari yang aku bayangkan sebelumnnya
positif,melihat seorang ibu yang berjuang di tengah hujan dan panas supaya anaknya bisa makan..ini momen luar biasa bagiku untuk tahun ini...sekaligus jadi reflections moment for me :
positif,"Teman baru yang asik kek mega dari jogja,yang seberani safa dari jateng yang sok bet asik tapi lucu kek sina dari jkt dan tentu ilmu dari coach nasional"
positif,Ak jd hobi berdoaaaaa. Apalagi doain danur dan el
positif,"Lulus kus mengajar, lulus wfh OJ6 dan 7, sehat, keuangan lancar, buka tabungan haji, orangtua sehat, dan lainnya"
positif,"di taun 2022 ini ya alhamdulillah kepalanya jd 2 dan agak membuat berat dikit yh, lumayan asik si PP gegara kuliah offline jd ada effortnya walopun se sana turu dan telat wkwk, dapet asprak yg awikwok dan skrg lg minta disupport, smg aku g jadi badut"
positif,mencintai aku
positif,Banyak rejeki dan dia
positif,"aku bisa jadi lebih hemat dibanding taun kemaren, meskipun baru belajar cuma se-enggaknya keuanganku jadi lebih stabil alhamdulillah"
positif,"Eh tapi hal2 baik itu bukan terjadi sama saya, min.. maksudnya saya lihat banyak hal2 baik selama 2022."
positif,"Banyak banget, min.. suwer deh.. 2022 banyak hal2 baik."
negatif,"Masih bisa waras, ditengah gempuran banyak hal yang bikin ga waras."
positif,mukjizat yg bener2 nyata
negatif,apakah punya kebijakan ganti rugi atas pelayanan bus yang buruk dan tidak sesuai dengan yang tertera di aplikasi
positif,Alhamdulillah banyak
netral,Ok saya dm ya untuk detailnya
netral,mixue belum ada disekitar rumah
netral,Iya kak nah ini saat pengisian data diperlukan nomor passpor kan ya saat pemesanan tiket
netral,Saat ingin memesan tiket pesawat ke luar negeri apakah dibtuhulan nomor passport dkk saat pengisian data pemesanan tiket sblm pembayaran
positif,banyak orang yang mengasihi saya
positif,"bertemu banyak orang baik yang mau membantu tanpa pamrih, dan alhamdulillah dipertemukan dg orang yang aku sayang banget"
netral,Ketemu banyak orang-orang baruteman-teman baru
negatif,Masih bisa kerja dan nabung. Dah itu aja.
positif,Memaafkan diri sendiri untuk segala sesuatu yang sudah terjadi
netral,"ppp admin gabut gk, ayo chat an"
negatif,"2022 gada yang berjalan baik, tapi hal baik yang aku temukan adalah AKU yang masih tetap baik2 saja"
netral,"Liburan pake traveloka , mulai dari tiket kereta e nginep pake traveloka semua"
negatif,kadang hal yg nyakitin bisa ngasih dak baik
positif,"Sabar, syukur, dan nerima"
negatif,Jangan terlalu berharap sama manusia manapun.
negatif,Tetap bisa berbagi walau keadaan sulit/sempit
positif,"banyak rezeki dan lumayan dpat bnyak pengalaman juga kesehatan, MasyaAllah"
positif,Lebih sabar dan ikhlas dari tahun sebelumnya
positif,Punya pekerjaan meskipun cuma 2 minggu tapi sangat berkesan bngt.
negatif,ngerep kosongan gak bisa ya
negatif,"aku menemukan diriku,yg berani bilang gak karna selama ini selalu iyaiya aja"
negatif,"sending me a job, ga nyangka sama yg ini"
positif,Kamu
positif,"alhamdulillah seiring berjalannya waktu, saya semakin bisa menerima takdir, dan 2022 ini saya belajar banyak hal baik, meskipun kebiasaan buruk masih sering saya lakukan"
negatif,"Ga perlu nyenengin orang mulu, bukannya egois tp coba lebih sayang sama diri sendiri. Mikirin orang yg prioritas2 aja. Ga perlu cape2 jelasin berkali kali ke orang untuk membela diri, kadang ada orang yg emang gamau memahami apa yg km komunikasiin. Yaudah ga perlu dipaksa."
negatif,Jadi rutin baca dzikir dan lebih pasrah untuk semua hal yang dijalani dan dialami
positif,Udah mulai bisa mencintai diri sendiri
positif,Mulai tahan banting diomeli bapak karena udah biasa di 2022
positif,Banya bangaat bingung min. Tp sala satunya jd lebi suka olahraga pdhl dr dulu gaprna mau hahah alhamdulillah
positif,Bisa kuat bertahan walaupun banyak sambat dan nangis tapi tetep bisa hahahihi
positif,menuju akhir tahun banyak menemukan hal hal yg baiiik
positif,"Ketemu temen temen baru yang super duper baik, ketemu mba galuh yang udah anggep aku kaya adik sendiri"
positif,Mencintai diriku sendiri dan duitku
positif,Masih diberikan kesempatan untuk hidup dan berusaha menjadi lebih baik
positif,Banyak rejeki n temen2 baru
positif,Mau menerima kekurangan diri dan selalu prioritasin kebahagian diri sendiri. Doain min tahun depan bisa traveling kemanapun berada pake traveloka tentunya. Banyakin promo ya
negatif,"Lebih belajar menerima apa yang ga disuka, lebih berdamai sama diri sendiri, tau tentang artinya kerja keras dan merelakan"
positif,Bisa nyenengin orang tua
negatif,Ketemu ma calon mantan
positif,punya banyak temen yg baik
positif,"Semangat juga untuk kamu, Min. -ILY"
positif,Ternyata tetep bisa produktif meski di rumah saja.
negatif,Istri hamil setelah menunggu 5 tahun
positif,"Lebih dewasa, lebih mengerti, berdamai sama diri sendiri"
positif,mungkin gak banyak yg paham.. tapi aku harap orangnya tau tweet ini wkwkwk
netral,"min buat pengguna baru, ada kode kupon/promo buat ke dufan ngga"
negatif,kerabat jauh
positif,"Hal baik yang ditemukan tahun ini yang pasti lebih sabar kak dalam menghadapi segala hal, terus berdamai sama diri sendiri juga karena bisa meredakan nafsu agar hidup bisa lebih tenang kak"
netral,cek dm mun
positif,Alhamdulillah..dinotis gini aja dah seneng.
netral,Sudah saya kirim via DM min.
netral,"minta CEK DM min , bales"
netral,min cek DM dong. makasih
positif,Kerenn bangettt kakkk semoga suatu saat bisa naikkkk
netral,min cek dm
positif,Bisa ke beberapa tempat yg aku senengin bgt dr dlu
netral,tolong cek dm min
netral,tlg cek dm ya
netral,"Min tanya dong, pesawat di-reschedule sama maskapainya tapi kenapa e-tiket/voucher ngga diupdate dan dikirim ke email e-tiket saya masih schedule yg lama nih."
netral,"hallo kak, pembayaran saya tidak memasukkan kode unik, bisa diproses segera nggak ya Terima kasih"
netral,min tolong cek dm makasih
netral,Kak udah saya dm yaaaaa
netral,Udah ya kak
netral,"malam min, bagaimana cara membatalkan quick ride yang untuk nanti karena saya order untuk jam 11 tapi masih mencari sopir hingga sekarang"
negatif,Ah robot sueeee... hari gini..
netral,Mana balas DM nya..
netral,Udah dm
netral,Irt ngga ada cuti miinn.
netral,Min cek dm
netral,Hallo cek dm dong
netral,Dapet hadiah gak Min Kalau dpt aku kasih email aku
